Chatswood,NSW,1
Glen Waverly,Victoria,1
Melbourne,Victoria,1
North Sydney,NSW,1
South Brisbane,Queensland,1
Graz,,3
Salzburg,,3
Bruxelles,,4
Charleroi,,4
Montreal,Quebec,18
Tsawassen,BC,18
Vancouver,BC,18
Aaarhus,,5
Kobenhavn,,5
Espoo,,6
Helsinki,,6
Oulu,,6
Lille,,7
Lyon,,7
Marseille,,7
Nantes,,7
Paris,,7
Reims,,7
Strasbourg,,7
Toulouse,,7
Versailles,,7
Frankfurt,,8
Koln,,8
Munich,,8
Dublin,,9
Bergamo,,10
Reggio Emilia,,10
Torino,,10
Minato-ku,Tokyo,16
Osaka,Osaka,16
Bergen,,11
Oslo,,11
Stavern,,11
Makati City,,17
Singapore,,2
Barcelona,,12
Madrid,,12
Sevilla,,12
Boras,,13
Lule,,13
Gensve,,14
Cowes,Isle of Wight,15
Liverpool,,15
London,,15
Manchester,,15
Allentown,PA,19
Boston,MA,19
Brickhaven,MA,19
Bridgewater,CT,19
Brisbane,CA,19
Burbank,CA,19
Burlingame,CA,19
Cambridge,MA,19
Glendale,CA,19
Las Vegas,NV,19
Los Angeles,CA,19
Nashua,NH,19
New Bedford,MA,19
New Haven,CT,19
Newark,NJ,19
NYC,NY,19
Pasadena,CA,19
Philadelphia,PA,19
San Diego,CA,19
San Francisco,CA,19
San Jose,CA,19
San Rafael,CA,19
White Plains,NY,19
